id,sanctions_translated,sanctions_lemmatized,final_label
interpol-red-2019-110124,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-19052,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-77895,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-31100,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-33002,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-159565,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-LEuhDDUDhXF4mJZHtji6zA,preparation for participation in illegal armed formation,preparation for participation in illegal armed formation,armed formation
interpol-red-2019-74869,participating in illegal armed formation,participate in illegal armed formation,armed formation
interpol-red-2015-77860,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-163955,"""1) murder; 2) attempted murder; 3) illegal acquisition, transfer, sale, storage, transportation or bearing of firearms, its basic parts, ammunition, explosives and explosive devices""",murder attempt murder illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2019-36936,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-29047,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2020-45512,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-RkpMQrHnv3me9E3zoFAFNe,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-205832,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-64154,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-25372,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-70848,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2020-37136,"participation in the activity of a terrorist organization, participation in illegal armed formation, illegal storage of firearms.",participation in the activity of a terrorist organization participation in illegal armed formation illegal storage of firearm,armed formation
interpol-red-2012-325841,"""banditry; murder; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, or explosive device; robbery; kidnapping; extortion; armed robbery;  fraud""",banditry murder illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive or explosive device robbery kidnapping extortion armed robbery fraud,armed formation
interpol-red-2019-34239,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-70312,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-9530,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-66190,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2018-64721,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-36695,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-25382,"""participation in illegal armed formation; illegal storage of high explosives.""",participation in illegal armed formation illegal storage of high explosive,armed formation
interpol-red-2016-9025,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-203614,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-50660,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-100204,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-D2tEvcB4ukw9Q4Ef6rBAgZ,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-75153,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-2377,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-75143,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-RP24yBFT5enhvLFeBZk8qv,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-43276,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-84661,"""illegal acquisition, transfer, storage, transportation of ammunition; participation in illegal armed formation; participation in terrorist organization.""",illegal acquisition transfer storage transportation of ammunition participation in illegal armed formation participation in terrorist organization,armed formation
interpol-red-2017-167071,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-131708,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2019-44834,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-63284,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-128660,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-69810,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-47390,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2020-22253,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-70031,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-isYsGLfnab3Epf8UxqxkGN,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-29023,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-97547,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-31576,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-167531,participation in an illegal armed group,participation in an illegal armed group,armed formation
interpol-red-2017-188836,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-134748,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2020-34096,participation in the acitivty of an  illegal armed formation,participation in the acitivty of an illegal armed formation,armed formation
NK-JSkhyUP2dg99xZ4rPrXpTs,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-Pq8Lpz8jW6BRHV8xGS9B6E,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2015-75157,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-ABZhYDJs8euTLWurc9LYCR,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-7968,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-52189,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-39278,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-173662,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-64234,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-j25rJrZvfWJy2Hr24mWCLS,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-34969,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-201642,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-42436,participation in activity of an illegal armed formation.,participation in activity of an illegal armed formation,armed formation
NK-gn3J2pPXP9C4FpqSbVy8fq,aiding in participation in illegal armed formation,aid in participation in illegal armed formation,armed formation
interpol-red-2019-16634,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-165176,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-23436,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-166804,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-131684,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-mnNBEAa4e8RKpUJ8DiwXUZ,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-60182,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-189152,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-154765,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-286038,organization of an illegal armed formation or participation in it,organization of an illegal armed formation or participation in it,armed formation
interpol-red-2016-22098,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-72139,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-Vo6TSVNWohUHKqaB5sTdQi,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-66219,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-95683,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-74590,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-7tZx5zCp7fWZAE55WkyCso,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2018-44572,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-78371,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2019-98060,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-80033,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-40146,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-85210,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-116103,assistance to murder commitment - participation in the activity of an illegal armed formation,assistance to murder commitment participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-9881,operation assist to an illegal armed formation.,operation assist to an illegal armed formation,armed formation
interpol-red-2015-25481,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-38371,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-91343,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-168020,"""1) aiding and abetting the members of illegal armed formation; 2) participation in illegal armed formation; 3) participation in terrorist organization""",aid and abet the member of illegal armed formation participation in illegal armed formation participation in terrorist organization,armed formation
interpol-red-2017-192811,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-31974,"""participation in terrroist organization; participation in illegal armed formation.""",participation in terrroist organization participation in illegal armed formation,armed formation
interpol-red-2018-78903,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-43507,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-61947,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-38058,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-4271,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-80043,"""1) participation in illegal armed formation;
2) illegal crossing of the russian state border;
3) stealing a passport from a citizen;
4) participation in terrorist organization;
5) public appeals for extremist activity""",participation in illegal armed formation illegal crossing of the russian state border steal a passport from a citizen participation in terrorist organization public appeal for extremist activity,armed formation
interpol-red-2016-34959,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-291827,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-JJdFAr3DtEmQWToTbkszup,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-47914,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-131217,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-67378,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-72035,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-dyMtDsjEMS4BGYrLPBkYZ6,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-f8TpAwNXkfU7pxFovoLPEj,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-60426,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-82524,"""participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation; participation in the activity of an illegal armed formation""",participation in the activity of a terrorist organization participation in the activity of an illegal armed formation participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-2134,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-67673,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-131688,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-90013,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-63099,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-95903,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-jSidXX8psXuFG5eAwMSUqC,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-203010,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-47831,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-87164,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-41109,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-145152,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-86222,assistance to the members of an illegal armed formation,assistance to the member of an illegal armed formation,armed formation
interpol-red-2018-104479,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-64858,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-Dy83jh2L4C34ft4nPerFcQ,organized participation in illegal armed formation,organize participation in illegal armed formation,armed formation
interpol-red-2017-167111,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-195548,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-114539,participation in an  illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-22741,violation of the rules for traffic safety and operation of transport vehicles that caused the death of a person,violation of the rule for traffic safety and operation of transport vehicle that cause the death of a person,armed formation
interpol-red-2016-64184,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-29600,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-12655,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-18004,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-38342,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2021-77328,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2020-64856,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-18616,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2022-23535,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2015-80039,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-19624,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-20237,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-43066,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-25552,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-50540,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2007-32475,"creation of a stable armed group (band) with the aim of assaulting individuals or organizations, and also operation of such a group (band),  illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices committed by an organized group, robbery with violence committed by an organized group",creation of a stable armed group band with the aim of assault individual or organization and also operation of such a group band illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device commit by an organize group robbery with violence commit by an organize group,armed formation
interpol-red-2019-97349,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-48316,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-48000,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-123169,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-27810,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-76511,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-QZyWYKxwWHPySKTKPPBwVH,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-190266,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2019-112132,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-27025,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-45320,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-98740,"mureder, attermpted murder, organization of an illegal armed formation, outrages upon bodies of the deceased, theft",mureder attermpted murder organization of an illegal armed formation outrage upon body of the deceased theft,armed formation
interpol-red-2016-66152,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-53992,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-25939,participating in illegal armed formation,participate in illegal armed formation,armed formation
interpol-red-2015-48806,"""participation in an illegal armed formation;""",participation in an illegal armed formation,armed formation
interpol-red-2016-10667,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-85075,"""participation in illegall armed formation; participation in a terrorist organization; illegal acquisition, storage, transportation of ammunition""",participation in illegall armed formation participation in a terrorist organization illegal acquisition storage transportation of ammunition,armed formation
interpol-red-2018-106737,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-60682,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-67228,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-78140,participation in illegal armed formation and terroristic organization,participation in illegal armed formation and terroristic organization,armed formation
NK-D5UtjUeieVQVmTGkukzE6R,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-NdpMrBWoFnVpnfFsZvG876,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-33390,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-31561,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-64170,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-49995,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-49350,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-7515,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-67281,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-2876,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-129465,"""participation in illegal armed formation; illegal storage of firearms, its basic parts, ammunition, explosives, and explosive devices""",participation in illegal armed formation illegal storage of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2020-6652,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-34616,carried out the smuggling of migrants,carry out the smuggling of migrant,armed formation
interpol-red-2017-186843,assistance to the members of an illegal armed formation,assistance to the member of an illegal armed formation,armed formation
interpol-red-2017-10001,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-273518,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-43543,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-dTxLhMiJYphYSZnjsiXr4U,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-166549,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-272022,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-47974,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-89886,participating in the activity of an illegal armed formation,participate in the activity of an illegal armed formation,armed formation
interpol-red-2018-106741,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-3427,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-86098,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-283460,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-282997,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-77527,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-66182,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-72078,"causing deception and alluring for suitable job, wrongfully confining and killing with demanding ransom by organized human traffickers with a view to unlawful gain.",cause deception and alluring for suitable job wrongfully confine and kill with demand ransom by organized human trafficker with a view to unlawful gain,armed formation
interpol-red-2019-38789,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-44753,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-46896,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-68936,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-2360,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-74054,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-39982,"""1) illegal acquisition and storage of firearms and ammunition; 2) illegal acquisition and storage of explosive devices""",illegal acquisition and storage of firearm and ammunition illegal acquisition and storage of explosive device,armed formation
interpol-red-2019-72075,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-47530,"""organization of smuggling of explosive substance; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices;illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices committed in organization group""",organization of smuggling of explosive substance illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive devices;illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device commit in organization group,armed formation
interpol-red-2018-9731,participaton in illegal armed formation,participaton in illegal armed formation,armed formation
interpol-red-2016-61903,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-63020,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-36931,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2019-128656,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-72286,"organization of activity of the terrorist organization and participation in activity of such organization. participation in illegal armed formation. participation in a stable armed group (crew).illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, (except for civilian smooth-bore long-barreled firearms, their major components and cartridges for them, limited destruction firearms, their major components and cartridges for them), explosives, or explosive devices.",organization of activity of the terrorist organization and participation in activity of such organization participation in illegal armed formation participation in a stable armed group crew).illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition except for civilian smooth bore long barrel firearm their major component and cartridge for they limited destruction firearm their major component and cartridge for they explosive or explosive device,armed formation
NK-PnSJ3RMYGnhekgNBWnumCi,"organization of an illegal armed formation, or participation in it",organization of an illegal armed formation or participation in it,armed formation
interpol-red-2016-64767,participation in illegal armed formation.,participation in illegal armed formation,armed formation
